,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
2870,166,405,0,0.5,0.5,0.25,0.0,0.0
2871,167,405,0,0.5,0.5,0.25,0.0,0.0
2872,144,201,-1,0.5,-0.5,-0.25,-0.5,-0.25
2873,168,302,0,0.5,0.5,0.25,0.0,0.0
2874,159,108,0,0.5,-0.5,-0.25,0.5,0.25
2875,166,206,0,0.5,-0.5,-0.25,-0.5,-0.25
2876,167,101,-1,0.5,-0.5,-0.25,0.5,0.25
2877,168,108,0,0.5,-0.5,-0.25,0.5,0.25
2878,166,408,-1,0.5,0.5,0.25,0.0,0.0
2879,159,307,-1,0.5,0.5,0.25,0.0,0.0
2880,144,101,-1,0.5,-0.5,-0.25,0.5,0.25
2881,167,206,0,0.5,-0.5,-0.25,-0.5,-0.25
2882,154,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2883,166,108,-1,0.5,-0.5,-0.25,0.5,0.25
2884,144,401,-1,0.5,0.5,0.25,0.0,0.0
2885,167,107,-1,0.5,-0.5,-0.25,0.5,0.25
2886,168,406,0,0.5,0.5,0.25,0.0,0.0
2887,166,404,0,0.5,0.5,0.25,0.0,0.0
2888,144,303,-1,0.5,0.5,0.25,0.0,0.0
2889,159,301,0,0.5,0.5,0.25,0.0,0.0
2890,167,102,-1,0.5,-0.5,-0.25,0.5,0.25
2891,168,202,0,0.5,-0.5,-0.25,-0.5,-0.25
2892,159,304,0,0.5,0.5,0.25,0.0,0.0
2893,167,105,0,0.5,-0.5,-0.25,0.5,0.25
2894,168,405,0,0.5,0.5,0.25,0.0,0.0
2895,166,308,0,0.5,0.5,0.25,0.0,0.0
2896,168,305,0,0.5,0.5,0.25,0.0,0.0
2897,144,408,-1,0.5,0.5,0.25,0.0,0.0
2898,166,103,-1,0.5,-0.5,-0.25,0.5,0.25
2899,154,207,0,0.5,-0.5,-0.25,-0.5,-0.25
2900,167,404,0,0.5,0.5,0.25,0.0,0.0
2901,175,106,-1,0.5,-0.5,-0.25,0.5,0.25
2902,168,401,0,0.5,0.5,0.25,0.0,0.0
2903,144,402,-1,0.5,0.5,0.25,0.0,0.0
2904,166,104,-1,0.5,-0.5,-0.25,0.5,0.25
2905,175,108,-1,0.5,-0.5,-0.25,0.5,0.25
2906,167,303,0,0.5,0.5,0.25,0.0,0.0
2907,154,208,0,0.5,-0.5,-0.25,-0.5,-0.25
2908,168,208,0,0.5,-0.5,-0.25,-0.5,-0.25
2909,159,105,0,0.5,-0.5,-0.25,0.5,0.25
2910,175,401,0,0.5,0.5,0.25,0.0,0.0
2911,166,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2912,167,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2913,175,408,0,0.5,0.5,0.25,0.0,0.0
2914,144,106,-1,0.5,-0.5,-0.25,0.5,0.25
2915,167,403,0,0.5,0.5,0.25,0.0,0.0
2916,175,302,0,0.5,0.5,0.25,0.0,0.0
2917,168,207,0,0.5,-0.5,-0.25,-0.5,-0.25
2918,154,302,0,0.5,0.5,0.25,0.0,0.0
2919,167,103,-1,0.5,-0.5,-0.25,0.5,0.25
2920,168,303,0,0.5,0.5,0.25,0.0,0.0
2921,167,203,0,0.5,-0.5,-0.25,-0.5,-0.25
2922,159,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2923,175,308,0,0.5,0.5,0.25,0.0,0.0
2924,172,105,0,0.5,-0.5,-0.25,0.5,0.25
2925,166,203,0,0.5,-0.5,-0.25,-0.5,-0.25
2926,154,407,0,0.5,0.5,0.25,0.0,0.0
2927,159,202,0,0.5,-0.5,-0.25,-0.5,-0.25
2928,175,405,0,0.5,0.5,0.25,0.0,0.0
2929,166,307,0,0.5,0.5,0.25,0.0,0.0
2930,168,105,0,0.5,-0.5,-0.25,0.5,0.25
2931,144,407,0,0.5,0.5,0.25,0.0,0.0
2932,159,302,0,0.5,0.5,0.25,0.0,0.0
2933,175,403,0,0.5,0.5,0.25,0.0,0.0
2934,166,401,0,0.5,0.5,0.25,0.0,0.0
2935,148,103,-1,0.5,-0.5,-0.25,0.5,0.25
2936,172,307,0,0.5,0.5,0.25,0.0,0.0
2937,168,403,0,0.5,0.5,0.25,0.0,0.0
2938,154,202,0,0.5,-0.5,-0.25,-0.5,-0.25
2939,172,303,0,0.5,0.5,0.25,0.0,0.0
2940,144,302,0,0.5,0.5,0.25,0.0,0.0
2941,167,408,0,0.5,0.5,0.25,0.0,0.0
2942,175,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2943,172,407,0,0.5,0.5,0.25,0.0,0.0
2944,154,105,0,0.5,-0.5,-0.25,0.5,0.25
2945,168,205,0,0.5,-0.5,-0.25,-0.5,-0.25
2946,159,406,0,0.5,0.5,0.25,0.0,0.0
2947,148,208,0,0.5,-0.5,-0.25,-0.5,-0.25
2948,167,106,-1,0.5,-0.5,-0.25,0.5,0.25
2949,172,103,-1,0.5,-0.5,-0.25,0.5,0.25
2950,144,103,-1,0.5,-0.5,-0.25,0.5,0.25
2951,168,408,0,0.5,0.5,0.25,0.0,0.0
2952,175,201,0,0.5,-0.5,-0.25,-0.5,-0.25
2953,167,202,0,0.5,-0.5,-0.25,-0.5,-0.25
2954,159,101,0,0.5,-0.5,-0.25,0.5,0.25
2955,148,305,0,0.5,0.5,0.25,0.0,0.0
2956,144,304,0,0.5,0.5,0.25,0.0,0.0
2957,167,308,0,0.5,0.5,0.25,0.0,0.0
2958,175,301,0,0.5,0.5,0.25,0.0,0.0
