,trial,score_dif,userid,gridtype,gridnum
41243,6,1.0,10,Switch,201
41255,7,1.0,45,Switch,201
41309,5,1.0,54,Switch,208
41387,7,1.0,23,Switch,208
41495,3,1.0,34,Switch,207
41549,5,1.0,6,Switch,204
41555,4,1.0,40,Switch,203
41777,2,1.0,36,Switch,206
41873,2,1.0,37,Switch,202
41879,1,1.0,83,Switch,202
41969,5,1.0,31,Switch,206
42035,2,1.0,14,Switch,201
42071,2,1.0,28,Switch,203
42077,4,1.0,17,Switch,206
42107,1,1.0,38,Switch,204
42419,5,1.0,26,Switch,205
42587,5,1.0,46,Switch,202
42647,3,1.0,21,Switch,202
42671,3,1.0,14,Switch,207
42791,8,1.0,12,Switch,202
43019,3,1.0,37,Switch,204
43169,2,0.0,38,Switch,206
43205,1,1.0,78,Switch,203
43223,2,1.0,41,Switch,201
43235,5,1.0,17,Switch,202
43253,3,0.0,36,Switch,201
43271,4,1.0,14,Switch,205
43385,1,1.0,56,Switch,202
43439,2,1.0,76,Switch,205
43769,7,1.0,10,Switch,206
43829,5,1.0,14,Switch,203
43949,5,1.0,40,Switch,208
43979,6,1.0,31,Switch,208
44153,2,1.0,79,Switch,205
44219,2,1.0,27,Switch,204
44231,1,1.0,86,Switch,206
44261,8,1.0,10,Switch,208
44351,8,1.0,23,Switch,203
44453,3,1.0,76,Switch,202
44579,4,1.0,13,Switch,203
44633,3,1.0,41,Switch,203
44681,6,1.0,6,Switch,202
44729,4,0.0,25,Switch,207
44849,4,1.0,43,Switch,201
45323,2,1.0,56,Switch,205
45383,3,1.0,27,Switch,203
45455,3,1.0,48,Switch,204
45533,3,1.0,28,Switch,201
45653,6,1.0,17,Switch,208
46007,2,1.0,64,Switch,202
46103,8,0.0,15,Switch,208
46121,4,1.0,36,Switch,203
46193,7,1.0,17,Switch,203
46247,3,1.0,30,Switch,201
46319,3,1.0,79,Switch,208
46325,2,1.0,83,Switch,207
46355,7,1.0,6,Switch,201
46493,6,1.0,14,Switch,204
46703,1,1.0,94,Switch,201
46709,3,1.0,64,Switch,201
46793,1,1.0,95,Switch,204
46823,5,1.0,13,Switch,204
46865,5,1.0,47,Switch,204
46937,4,1.0,30,Switch,202
47105,6,1.0,26,Switch,206
47147,4,1.0,76,Switch,204
47279,2,1.0,86,Switch,208
47399,4,0.0,64,Switch,207
47429,3,1.0,83,Switch,203
47435,4,1.0,79,Switch,203
47459,6,1.0,13,Switch,202
47465,6,1.0,47,Switch,208
47585,4,1.0,41,Switch,206
47675,7,1.0,26,Switch,203
47699,4,1.0,27,Switch,205
47729,7,1.0,14,Switch,208
47909,4,1.0,21,Switch,206
47945,4,1.0,83,Switch,204
47999,5,0.0,64,Switch,206
48011,7,1.0,47,Switch,201
48035,6,1.0,54,Switch,201
48041,5,1.0,79,Switch,204
48065,4,1.0,37,Switch,206
48130,6,1.0,39,Switch,206
48251,4,1.0,34,Switch,202
48497,8,1.0,17,Switch,204
48503,1,1.0,81,Switch,201
48587,6,1.0,64,Switch,208
48820,5,1.0,43,Switch,202
48839,5,1.0,34,Switch,204
49127,7,1.0,39,Switch,202
49427,6,1.0,40,Switch,206
49583,5,0.0,25,Switch,208
49697,8,1.0,39,Switch,204
49745,4,1.0,70,Switch,204
49751,5,1.0,27,Switch,208
49823,6,1.0,46,Switch,203
49847,5,1.0,21,Switch,207
49919,6,1.0,43,Switch,208
49985,3,1.0,38,Switch,205
49997,7,1.0,40,Switch,204
50159,3,1.0,86,Switch,201
50195,7,1.0,54,Switch,205
50219,2,0.0,78,Switch,201
50585,7,1.0,43,Switch,205
50609,7,1.0,46,Switch,208
50669,6,1.0,79,Switch,202
50831,8,1.0,54,Switch,204
50855,6,1.0,27,Switch,202
50939,7,1.0,31,Switch,202
51059,5,1.0,76,Switch,207
51203,6,1.0,34,Switch,201
51209,8,1.0,26,Switch,204
51227,1,1.0,62,Switch,201
51311,5,1.0,83,Switch,208
51347,5,1.0,36,Switch,208
51443,8,1.0,6,Switch,206
51569,2,1.0,81,Switch,205
51593,6,1.0,76,Switch,201
51623,8,1.0,43,Switch,203
51749,8,1.0,40,Switch,205
51785,4,1.0,86,Switch,203
51899,1,1.0,53,Switch,207
52013,5,1.0,30,Switch,203
52025,1,1.0,63,Switch,205
52037,8,1.0,14,Switch,206
52067,3,1.0,81,Switch,208
52139,2,1.0,95,Switch,207
52187,1,1.0,84,Switch,201
52247,7,0.0,27,Switch,207
52373,2,1.0,94,Switch,204
52451,6,1.0,25,Switch,206
52463,8,1.0,45,Switch,207
52511,3,1.0,78,Switch,208
52529,8,1.0,31,Switch,201
52595,3,1.0,95,Switch,203
52733,5,1.0,41,Switch,202
52852,2,1.0,84,Switch,202
52931,3,1.0,94,Switch,208
53045,7,1.0,25,Switch,203
53111,4,1.0,81,Switch,202
53171,3,1.0,56,Switch,201
53465,5,1.0,37,Switch,203
53477,8,1.0,27,Switch,206
53609,7,1.0,64,Switch,203
53717,2,1.0,63,Switch,202
53723,4,1.0,78,Switch,202
53813,7,1.0,13,Switch,205
53915,6,0.0,21,Switch,208
54023,8,1.0,47,Switch,207
54029,3,1.0,84,Switch,204
54047,1,1.0,65,Switch,201
54119,4,1.0,94,Switch,202
54137,4,1.0,48,Switch,207
54149,6,1.0,37,Switch,208
54239,7,1.0,76,Switch,206
54329,5,1.0,86,Switch,207
54533,7,1.0,21,Switch,204
54677,5,1.0,94,Switch,206
54713,1,1.0,68,Switch,206
55139,7,1.0,79,Switch,206
55301,1,1.0,18,Switch,207
55469,1,1.0,67,Switch,205
55601,8,1.0,21,Switch,203
55793,4,0.0,95,Switch,206
55871,5,1.0,48,Switch,203
56009,2,1.0,18,Switch,201
56357,6,1.0,36,Switch,202
56375,7,1.0,34,Switch,205
56507,8,1.0,25,Switch,204
56579,4,1.0,38,Switch,201
56633,8,1.0,13,Switch,206
56645,6,1.0,83,Switch,206
