,trial,score_dif,userid,gridtype,gridnum
41153,5,1.0,13,Push,101
41159,4,1.0,39,Push,103
41171,1,0.0,30,Push,101
41393,5,0.0,26,Push,103
41477,2,1.0,27,Push,105
41513,2,1.0,79,Push,106
41543,2,0.0,21,Push,103
41795,5,1.0,54,Push,102
42005,3,1.0,79,Push,105
42119,3,1.0,27,Push,103
42341,4,0.0,48,Push,108
42449,4,0.0,31,Push,101
42461,1,1.0,18,Push,105
42479,3,1.0,25,Push,103
42515,4,0.0,45,Push,102
42575,4,1.0,27,Push,106
42773,2,0.0,30,Push,105
42785,3,0.0,40,Push,108
42797,6,1.0,54,Push,103
42827,6,0.0,13,Push,103
42845,3,1.0,28,Push,107
43067,5,1.0,27,Push,108
43157,6,1.0,15,Push,101
43397,6,1.0,34,Push,103
43447,4,1.0,40,Push,107
43468,2,0.0,83,Push,102
43469,5,0.0,31,Push,106
43541,6,0.0,26,Push,107
43569,5,1.0,39,Push,105
43625,1,0.0,86,Push,101
43757,1,1.0,46,Push,101
43895,5,0.0,17,Push,106
43931,4,1.0,28,Push,105
44297,2,1.0,46,Push,104
44777,2,1.0,64,Push,105
44891,2,1.0,86,Push,105
45029,1,1.0,78,Push,105
45065,3,1.0,21,Push,101
45089,3,0.0,30,Push,108
45125,3,0.0,83,Push,106
45197,6,1.0,14,Push,101
45215,6,1.0,6,Push,103
45509,7,1.0,15,Push,106
45701,3,0.0,38,Push,106
45707,4,0.0,83,Push,108
46037,5,0.0,48,Push,102
46127,6,0.0,31,Push,108
46145,8,1.0,43,Push,105
46277,6,1.0,47,Push,105
46367,3,0.0,46,Push,102
46691,1,1.0,84,Push,105
46799,6,0.0,17,Push,101
46805,5,1.0,37,Push,101
46967,6,0.0,48,Push,105
46979,4,1.0,25,Push,102
47027,5,0.0,45,Push,101
47057,1,0.0,63,Push,102
47063,4,1.0,46,Push,108
47201,2,1.0,78,Push,106
47411,6,1.0,37,Push,104
47579,7,1.0,34,Push,104
47609,6,1.0,39,Push,104
47687,5,1.0,25,Push,104
47771,1,1.0,94,Push,104
47819,3,1.0,78,Push,104
48053,5,0.0,40,Push,102
48359,1,0.0,95,Push,106
48395,3,1.0,41,Push,107
48695,1,1.0,56,Push,106
48797,7,0.0,31,Push,102
48821,6,1.0,27,Push,104
48827,6,1.0,45,Push,105
48941,6,1.0,25,Push,101
48947,5,1.0,28,Push,106
49139,7,0.0,17,Push,108
49295,4,1.0,21,Push,104
49349,4,0.0,38,Push,107
49439,7,1.0,45,Push,106
49493,2,1.0,63,Push,104
49547,7,0.0,26,Push,108
49553,1,0.0,7,Push,101
49649,4,1.0,79,Push,103
49721,7,1.0,54,Push,105
49793,8,0.0,15,Push,102
49937,1,0.0,36,Push,104
49955,7,1.0,6,Push,107
50015,2,1.0,56,Push,104
50081,3,0.0,63,Push,107
50147,7,1.0,47,Push,102
50369,7,1.0,39,Push,101
50381,8,0.0,17,Push,107
50447,8,1.0,6,Push,101
50465,7,0.0,48,Push,101
50483,1,1.0,81,Push,105
50525,6,1.0,28,Push,102
50591,3,0.0,76,Push,102
50693,8,0.0,26,Push,101
50711,8,1.0,47,Push,107
50813,2,0.0,7,Push,108
50921,2,1.0,94,Push,106
51101,3,1.0,56,Push,103
51119,6,1.0,40,Push,101
51197,3,0.0,86,Push,107
51233,2,0.0,95,Push,107
51419,8,1.0,31,Push,104
51509,1,0.0,65,Push,103
51545,7,0.0,14,Push,108
51635,5,1.0,46,Push,103
51725,5,1.0,79,Push,101
51731,7,1.0,37,Push,105
51791,7,1.0,27,Push,101
51803,3,0.0,94,Push,108
51839,7,1.0,25,Push,105
51923,8,1.0,45,Push,103
52079,4,1.0,41,Push,104
52175,2,1.0,36,Push,101
52205,5,1.0,21,Push,105
52235,1,0.0,68,Push,101
52313,6,0.0,79,Push,102
52367,7,0.0,13,Push,107
52649,3,0.0,64,Push,101
52691,4,1.0,76,Push,107
52787,4,1.0,30,Push,106
52877,7,1.0,28,Push,103
52919,5,0.0,83,Push,103
52985,4,1.0,63,Push,105
53189,6,0.0,21,Push,102
53219,3,0.0,36,Push,107
53495,4,0.0,86,Push,103
53549,8,1.0,54,Push,108
53573,6,1.0,46,Push,106
53645,1,1.0,62,Push,104
53819,1,0.0,53,Push,105
53969,8,1.0,27,Push,102
53987,6,0.0,83,Push,107
54455,3,0.0,7,Push,107
54695,2,1.0,53,Push,101
54719,5,1.0,41,Push,108
54761,3,0.0,95,Push,105
54911,5,0.0,38,Push,105
54923,8,1.0,39,Push,108
55043,2,1.0,81,Push,104
55079,7,1.0,21,Push,107
55181,4,1.0,94,Push,102
55313,1,0.0,33,Push,103
55373,5,1.0,30,Push,104
55409,4,1.0,78,Push,101
55463,2,0.0,65,Push,107
55673,5,0.0,63,Push,103
55787,7,1.0,46,Push,105
55919,2,1.0,62,Push,106
55937,5,1.0,86,Push,106
55991,6,0.0,38,Push,108
56021,5,1.0,94,Push,103
56111,8,1.0,13,Push,108
56321,5,1.0,76,Push,108
56333,8,1.0,37,Push,107
56339,8,1.0,46,Push,107
56351,1,1.0,80,Push,101
56501,5,1.0,78,Push,102
56513,7,1.0,40,Push,104
56603,4,1.0,56,Push,102
56651,6,1.0,41,Push,101
56777,8,1.0,21,Push,106
56849,8,1.0,14,Push,106
57137,2,1.0,84,Push,102
57275,2,1.0,18,Push,101
57317,6,0.0,78,Push,107
57335,4,0.0,7,Push,103
57407,7,1.0,41,Push,102
57575,2,0.0,33,Push,106
57599,4,1.0,36,Push,105
57623,6,1.0,30,Push,103
57659,1,1.0,97,Push,105
57665,7,1.0,79,Push,108
57719,6,0.0,63,Push,108
57761,8,1.0,40,Push,106
57785,6,1.0,76,Push,106
57809,3,0.0,53,Push,104
58031,8,1.0,48,Push,104
58037,2,1.0,80,Push,102
58175,3,1.0,81,Push,101
58181,8,1.0,34,Push,105
58223,5,1.0,36,Push,108
58241,7,1.0,76,Push,104
58445,1,0.0,67,Push,106
